app,product_type,display_name,status,ok,social_draft_ready,social_buffer_ready,social_posts,social_posts_valid,forbidden_links,social_release,social_stage,social_reason,buffer_x_id,buffer_threads_id,buffer_instagram_id,requested_channels,source_kind,source_path,original_missing,meta_derivative_mismatch,actions
DAKE_App_Dashboard,app,DAKE Dashboard,internal,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_App_Dashboard/README.md,True,,original_missing; skipped status=internal
DAKE_App_Doko,app,アプリどこ,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_App_Doko/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Approve_Brainz,app,承認Brainz,frozen,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_Approve_Brainz/README.md,True,,original_missing; skipped status=frozen
DAKE_Backup,app,Dakeバックアップ,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Backup/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_BGM_Loop,app,Dake BGM Loop,frozen,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_BGM_Loop/README.md,True,,original_missing; skipped status=frozen
DAKE_BOOTH_Assist,app,BOOTHアシスト,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_BOOTH_Assist/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Brainz_OIKAWA,app,OIKAWA,frozen,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_Brainz_OIKAWA/README.md,True,,original_missing; skipped status=frozen
DAKE_Brainz_Search,app,補助脳BRAINZ,frozen,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",readme_fallback,01_apps/DAKE_Brainz_Search/README.md,True,,original_missing; skipped status=frozen
DAKE_Column_Memo,app,ずっとメモ,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Column_Memo/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Document_Cover,app,Dake書類送付状,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Document_Cover/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_FAX_Cover,app,DakeFAX送付状,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_FAX_Cover/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Folder_List,app,Dakeフォルダ一覧,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Folder_List/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
DAKE_Game_Alien_Road,app,DakeAlien Road,available,False,False,False,False,False,False,False,,,,,,"x,threads,instagram",original,01_apps/DAKE_Game_Alien_Road/ORIGINAL.md,False,,generate social_posts.md with tools/release_social.py; generate dry-run social_release.json with tools/release_social.py; x Buffer ID missing; threads Buffer ID missing; instagram Buffer ID missing
